,track_id,track_name,artist_id,artist_name,album_id,duration,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins
517,3mXCbWZZPwRIIQFuIdL9n0,Sleep,3s5Cw0mnjtGwGyJTI98Np4,T-Speed & 5upamanHOE,3eL0y1rpab5nTWTf7J3q2U,201456,24,0.883,0.4479999999999999,11,-9.515,0.348,0.0080299999999999,0.0,0.127,0.447,135.041,3.3576
520,7n2Dqgp4iXd8Zorfj9XSYo,Donk,6GMYJwaziB4ekv1Y6wCDWS,Soulja Boy,5wFQi4xOTXILQSKQr0Ft8s,192906,53,0.926,0.863,0,-3.391,0.2689999999999999,0.0197,0.0,0.0484,0.779,92.522,3.2151
521,6bxUnsSGZCmoHHU5auwtps,Beware,0c173mlxpT3dSFRgMO8XPh,Big Sean,5RlT8X7XGGLKUhoimrDl54,235186,71,0.7,0.5539999999999999,1,-5.909,0.187,0.2189999999999999,1.36e-06,0.419,0.0633,97.127,3.919766666666667
522,44CLbt11tp9ZTJaKBhfI7e,Pickles on my Big Mac,6wj1lmmGhLZSlk4PL9ZTfy,Bop King,61TSjRYhkQDWTBWF4u0mg9,146364,14,0.4579999999999999,0.351,8,-9.247,0.225,0.147,0.0,0.134,0.5539999999999999,130.577,2.4394
528,1Gv1NMcPtuevHW4N4bN0gA,No Guidance Ayzha Nyree - Slowed,0EK9Z6BZkhp1tAR60mh8Jt,Moon OA,7gY65UYL7RP8955lQmcxSY,329377,41,0.609,0.682,9,-7.652,0.134,0.492,0.0,0.204,0.305,73.84899999999999,5.489616666666667
534,2DQ1ITjI0YoLFzuADN1ZBW,No Limit,02kJSzxNuaWGqwubyUba0Z,G-Eazy,1VAc77UvK5wj8ZSWCo3V2b,245386,74,0.838,0.7709999999999999,1,-3.791,0.244,0.0117,0.0,0.0853,0.405,175.957,4.089766666666667
535,10Igtw8bSDyyFs7KIsKngZ,Freaky Friday (feat. Chris Brown),1tqhsYv8yBBdwANFNzHtcr,Lil Dicky,1XbNDGybI1iPfeQNJEeUdn,216631,73,0.755,0.599,8,-5.042,0.2239999999999999,0.147,0.0,0.109,0.755,133.123,3.610516666666667
542,5cHLlC1KPtSpHprTahwhsO,Talk N Bout (Talm Bout) [feat. Lil Jay],053fl1QPQFGqSPPxSPcacT,Loui,3JrCdAu7VneruQXGVPabLv,186174,23,0.852,0.4529999999999999,1,-8.307,0.349,0.0329,0.0,0.303,0.391,75.008,3.1029
543,13VXVxePp4NUiXwtmQ0viz,Said Sum (feat. City Girls & DaBaby) - Remix,3tJoFztHeIJkJWMrx0td2f,Moneybagg Yo,4faPRidDvKRvHnWdvmvVHv,177704,69,0.913,0.625,10,-6.901,0.3339999999999999,0.0168,0.0,0.125,0.298,126.915,2.9617333333333336
544,1wJRveJZLSb1rjhnUHQiv6,Swervin (feat. 6ix9ine),31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,3r5hf3Cj3EMh1C2saQ8jyt,189486,79,0.581,0.662,9,-5.239,0.303,0.0153,0.0,0.111,0.434,93.023,3.1581
